city,State_ab,State_name,population,density
Sprague,WA,Washington,305.5,369.5
Spragueville,IA,Iowa,77.0,39.0
Spray,OR,Oregon,148.0,197.0
Spreckels,CA,California,414.0,1308.0
Spring,TX,Texas,60976.0,1047.0
Spring Arbor,MI,Michigan,2402.0,333.0
Spring Bay,IL,Illinois,462.0,241.0
Spring Branch,TX,Texas,254.0,47.0
Spring City,PA,Pennsylvania,2078.0,741.0
Spring Creek,NV,Nevada,6971.5,49.5
Spring Gap,MD,Maryland,57.0,34.0
Spring Garden,AL,Alabama,103.5,21.0
Spring Gardens,TX,Texas,565.0,217.0
Spring Glen,UT,Utah,995.0,112.0
Spring Green,WI,Wisconsin,1641.0,379.0
Spring Grove,IL,Illinois,2368.0,554.5
Spring Hill,FL,Florida,23793.714285714286,371.7142857142857
Spring Hope,NC,North Carolina,1310.0,334.0
Spring House,PA,Pennsylvania,4045.0,597.0
Spring Lake,NC,North Carolina,3117.0,437.5
Spring Lake Heights,NJ,New Jersey,4521.0,1348.0
Spring Lake Park,MN,Minnesota,6919.0,1340.0
Spring Mill,KY,Kentucky,296.0,2061.0
Spring Mills,PA,Pennsylvania,359.0,238.0
Spring Mount,PA,Pennsylvania,2247.0,1296.0
Spring Park,MN,Minnesota,1784.0,1951.0
Spring Ridge,MD,Maryland,2388.0,431.6666666666667
Spring Valley,NV,Nevada,31411.0,1454.6666666666667
Spring Valley Lake,CA,California,8403.0,1072.0
Spring Valley Village,TX,Texas,4319.0,1371.0
Springboro,OH,Ohio,9688.5,495.0
Springbrook,IA,Iowa,79.0,53.666666666666664
Springdale,AR,Arkansas,12926.333333333334,668.0
Springer,NM,New Mexico,798.5,87.5
Springerton,IL,Illinois,102.0,311.0
Springerville,AZ,Arizona,1978.0,66.0
Springfield,MA,Massachusetts,68248.8947368421,675.7368421052631
Springhill,LA,Louisiana,2785.0,156.5
Springlake,TX,Texas,102.0,38.0
Springmont,PA,Pennsylvania,1172.0,2692.0
Springport,MI,Michigan,463.5,345.0
Springs,NY,New York,7036.0,320.0
Springtown,TX,Texas,1643.5,237.0
Springview,NE,Nebraska,236.0,137.0
Springville,UT,Utah,7550.833333333333,383.6666666666667
Springwater Hamlet,NY,New York,429.0,124.0
Spruce Pine,NC,North Carolina,2404.0,125.0
Spry,PA,Pennsylvania,4588.0,685.0
Spur,TX,Texas,1199.0,288.0
Spurgeon,TN,Tennessee,2435.0,444.5
Squaw Lake,MN,Minnesota,106.0,50.0
Squaw Valley,CA,California,3646.0,24.0
Squirrel Mountain Valley,CA,California,981.0,210.0
St. Albans,WV,West Virginia,9409.0,1177.5
St. Andrews,SC,South Carolina,20990.0,1308.0
St. Ann,MO,Missouri,12629.0,1545.0
St. Ann Highlands,CO,Colorado,583.0,161.0
St. Anne,IL,Illinois,1193.0,554.0
St. Ansgar,IA,Iowa,1120.0,400.0
St. Anthony,MN,Minnesota,4275.0,837.0
St. Augusta,MN,Minnesota,3835.0,49.0
St. Augustine,FL,Florida,41146.0,350.5
St. Augustine Beach,FL,Florida,7004.0,1278.0
St. Augustine Shores,FL,Florida,9340.0,822.0
St. Augustine South,FL,Florida,5431.0,1322.0
St. Benedict,IA,Iowa,22.0,11.0
St. Bernard,OH,Ohio,4336.0,1074.0
St. Bernice,IN,Indiana,463.0,99.0
St. Bonaventure,NY,New York,1909.0,372.0
St. Bonifacius,MN,Minnesota,2374.0,881.0
St. Charles,MO,Missouri,11094.0,369.1
St. Clair,MO,Missouri,3722.0,609.25
St. Clair Shores,MI,Michigan,58984.0,1949.0
St. Clairsville,OH,Ohio,2608.0,889.0
St. Clement,MO,Missouri,150.0,209.0
St. Cloud,MN,Minnesota,42528.0,476.25
St. Croix Falls,WI,Wisconsin,2046.0,158.0
St. David,AZ,Arizona,880.0,384.5
St. Donatus,IA,Iowa,129.0,132.0
St. Edward,NE,Nebraska,659.0,386.0
St. Elizabeth,MO,Missouri,346.0,128.0
St. Elmo,IL,Illinois,1403.0,428.0
St. Florian,AL,Alabama,670.0,68.0
St. Francis,WI,Wisconsin,3940.2,602.2
St. Francisville,LA,Louisiana,840.3333333333334,240.66666666666666
St. Gabriel,LA,Louisiana,7460.0,97.0
St. George,UT,Utah,21069.833333333332,783.0
St. George Island,FL,Florida,610.0,122.5
St. Georges,DE,Delaware,767.0,305.0
St. Hedwig,TX,Texas,2488.0,32.0
St. Helen,MI,Michigan,2671.0,204.0
St. Helena,CA,California,2524.6666666666665,194.33333333333334
St. Helens,OR,Oregon,27353.0,1104.0
St. Henry,OH,Ohio,2555.0,602.0
St. Hilaire,MN,Minnesota,264.0,130.0
St. Ignace,MI,Michigan,2397.0,340.0
St. Ignatius,MT,Montana,828.0,599.0
St. Jacob,IL,Illinois,1319.0,614.0
St. James,NY,New York,4731.142857142857,408.14285714285717
St. James City,FL,Florida,3489.0,92.0
St. Jo,TX,Texas,1030.0,369.0
St. Joe,IN,Indiana,299.0,291.0
St. John,IN,Indiana,5443.8,631.8
St. Johns,MI,Michigan,3108.0,273.0
St. Joseph,MO,Missouri,12769.125,464.75
St. Lawrence,PA,Pennsylvania,1012.5,500.0
St. Leo,FL,Florida,730.5,304.0
St. Leon,IN,Indiana,663.0,37.0
St. Leonard,MD,Maryland,494.0,83.0
St. Libory,IL,Illinois,384.5,216.0
St. Louis,MO,Missouri,677166.6666666666,910.3333333333334
St. Louis Park,MN,Minnesota,48662.0,1767.0
St. Louisville,OH,Ohio,386.0,588.0
St. Lucas,IA,Iowa,136.0,197.0
St. Lucie Village,FL,Florida,638.0,274.0
St. Marie,MT,Montana,470.0,7.0
St. Maries,ID,Idaho,2658.0,796.0
St. Marks,FL,Florida,324.0,63.0
St. Martin,MS,Mississippi,2840.0,305.3333333333333
St. Martins,MO,Missouri,1195.0,239.0
St. Martinville,LA,Louisiana,6872.0,727.0
St. Mary,MO,Missouri,237.0,139.0
St. Mary of the Woods,IN,Indiana,868.0,262.0
St. Mary's,CO,Colorado,594.0,85.0
St. Marys,GA,Georgia,10988.833333333334,487.8333333333333
St. Marys Point,MN,Minnesota,392.0,392.0
St. Matthews,KY,Kentucky,10008.5,990.5
St. Maurice,LA,Louisiana,368.0,21.0
St. Meinrad,IN,Indiana,658.0,151.0
St. Michael,MN,Minnesota,6321.0,116.33333333333333
St. Michaels,AZ,Arizona,1082.5,229.5
St. Nazianz,WI,Wisconsin,750.0,364.0
St. Olaf,IA,Iowa,101.0,159.0
St. Onge,SD,South Dakota,112.0,32.0
St. Paris,OH,Ohio,2010.0,479.0
