city,state_id,state_name,Low_Confidence_Limit,Data_Value,health_bad,High_Confidence_Limit,PopulationCount,density,state_name,ALand,AWater,Median,Stdev
Clovis,CA,California,11.404,12.372,0,13.38,11475.64,1741,California,12989803.444444444,83354.0,112036.88888888889,44782.11111111111
College Station,TX,Texas,12.56428571,14.96785714,1,17.45357143,10056.10714,890,Texas,3071702.1666666665,6348.666666666667,38683.583333333336,38491.166666666664
Colorado Springs,CO,Colorado,11.61238095,12.83809524,0,14.12666667,11897.52381,946,Colorado,6269099.386363637,11642.545454545454,97020.36363636363,47401.90909090909
Columbia,SC,South Carolina,13.47888889,15.35111111,1,17.27444444,7924.911111,373,South Carolina,5625222.151515151,107417.87878787878,98181.0,47084.84848484849
Columbus,OH,Ohio,14.32299652,15.74285714,1,17.22508711,10211.33449,1582,Ohio,10430580.666666666,326627.82666666666,57126.933333333334,36656.13333333333
Compton,CA,California,14.67419355,16.06451613,1,17.41935484,9334.354839,3680,California,2830917.9285714286,25890.071428571428,43186.0,40792.5
Concord,CA,California,11.68909091,12.82909091,0,14.00545455,10970.45455,1633,California,2505063.3076923075,0.0,162947.92307692306,55910.38461538462
Coral Springs,FL,Florida,11.85,12.92142857,0,14.06785714,12974.57143,2258,Florida,3485520.3636363638,71496.18181818182,127806.90909090909,56930.72727272727
Corona,CA,California,12.23783784,13.35405405,0,14.47027027,12354.64865,1640,California,22924226.64285714,71484.42857142857,107735.14285714286,53197.21428571428
Corpus Christi,TX,Texas,12.47894737,13.56052632,0,14.65263158,12047.81579,789,Texas,5641641.214285715,209574.0,85253.25,49112.892857142855
Costa Mesa,CA,California,11.22592593,12.44814815,0,13.71851852,12217.7037,2762,California,3206747.0,310827.06666666665,172005.0,68751.26666666666
Cranston,RI,Rhode Island,12.32105263,13.55263158,0,14.86315789,12692.68421,1109,Rhode Island,2282657.0,289817.8888888889,107184.11111111111,44987.22222222222
Dallas,TX,Texas,12.99248366,14.29869281,1,15.67091503,11742.66993,1526,Texas,3018938.4916666667,109512.63333333333,89818.65833333334,48019.63333333333
Daly City,CA,California,8.663636364,9.45,0,10.27272727,13789.5,5370,California,4158262.4285714286,0.0,152009.2857142857,62772.57142857143
Danbury,CT,Connecticut,10.95882353,12.0,0,13.04705882,14275.23529,779,Connecticut,5320388.857142857,343033.0,138090.2857142857,53398.42857142857
Davenport,IA,Iowa,12.03333333,13.15454545,0,14.32424242,9061.212121,617,Iowa,21352106.46153846,751094.6153846154,75356.53846153847,45562.307692307695
Davie,FL,Florida,11.56086957,12.64347826,0,13.75652174,11996.82609,1175,Florida,6265273.0,83048.33333333333,91404.66666666667,64345.333333333336
Dayton,OH,Ohio,16.28474576,17.95762712,1,19.58644068,7193.440678,978,Ohio,3720565.222222222,27948.833333333332,49566.083333333336,39635.0
Dearborn,MI,Michigan,15.20769231,16.95,1,18.73846154,11325.34615,1496,Michigan,2645655.0,31768.30769230769,32456.46153846154,30557.76923076923
Decatur,IL,Illinois,13.68064516,14.91612903,1,16.17741935,7366.645161,645,Illinois,12592921.166666666,293045.6666666667,47799.333333333336,37865.666666666664
Deerfield Beach,FL,Florida,13.01578947,14.13684211,1,15.28947368,11844.94737,2093,Florida,2636777.5,67131.5,45317.25,44768.0
Deltona,FL,Florida,14.23157895,15.2,1,16.16315789,13448.21053,960,Florida,6963164.0,644319.0,42101.666666666664,35307.666666666664
Denton,TX,Texas,12.75862069,14.33793103,1,16.0137931,11728.48276,567,Texas,6586006.8,51075.4,75195.4,48163.6
Denver,CO,Colorado,10.59172414,11.75448276,0,13.03310345,12417.06207,1831,Colorado,2258821.1739130435,55933.86956521739,80527.49275362318,51004.637681159424
Des Moines,IA,Iowa,12.095,13.275,0,14.49333333,10171.41667,938,Iowa,13425833.423076924,276719.6923076923,74831.0,40830.5
Detroit,MI,Michigan,17.33639456,18.99217687,1,20.71564626,7283.234694,1864,Michigan,4519124.454545454,108807.22727272728,26177.263636363637,33507.972727272725
Downey,CA,California,11.02173913,12.10869565,0,13.24782609,14577.6087,3457,California,43058755.25,624432.5,124512.5,50329.375
Duluth,MN,Minnesota,10.92162162,12.38108108,0,13.87027027,6993.891892,461,Minnesota,63854714.666666664,7129135.083333333,50648.416666666664,51104.25
Durham,NC,North Carolina,12.025,13.29666667,0,14.65,11415.91667,959,North Carolina,6379625.65,56871.55,69280.9,41429.25
Edinburg,TX,Texas,13.34,14.95333333,1,16.6,15420.0,873,Texas,19129208.75,0.0,33979.25,34303.5
Edmond,OK,Oklahoma,11.8125,13.15416667,0,14.6125,10175.625,428,Oklahoma,20917378.0,812098.5,172842.33333333334,65652.0
El Cajon,CA,California,13.58333333,14.67666667,1,15.81333333,9947.8,2732,California,6803614.0,119100.33333333333,101859.91666666667,56324.833333333336
El Monte,CA,California,12.565625,13.853125,0,15.140625,10637.0,4663,California,1479703.9090909092,44522.454545454544,66734.09090909091,48743.72727272727
El Paso,TX,Texas,12.30601504,13.69022556,0,15.11052632,14641.6391,1022,Texas,9088440.953125,22561.90625,75852.015625,39766.859375
Elgin,IL,Illinois,11.70740741,12.81111111,0,13.95555556,12018.85185,1141,Illinois,4767416.8,44141.8,110239.3,52134.8
Elizabeth,NJ,New Jersey,15.32857143,16.47142857,1,17.59285714,13389.53571,4049,New Jersey,956827.9090909091,23701.454545454544,71749.18181818182,44248.545454545456
Elk Grove,CA,California,10.7,11.59333333,0,12.51666667,15301.5,1605,California,2496216.1,0.0,122880.1,59017.4
Erie,PA,Pennsylvania,17.103125,18.575,1,20.0375,9542.4375,1926,Pennsylvania,13743601.15,271956.9,75668.05,39281.55
Escondido,CA,California,12.24857143,13.41714286,0,14.58857143,12334.74286,1568,California,10553037.714285715,118628.64285714286,97756.5,48883.57142857143
Eugene,OR,Oregon,13.54444444,15.17555556,1,16.88,10412.15556,1510,Oregon,11014514.588235294,19143.647058823528,102514.76470588235,44140.470588235294
Evanston,IL,Illinois,9.1,10.135,0,11.305,11172.9,3646,Illinois,1003558.125,98074.0,75019.5,62582.125
Evansville,IN,Indiana,16.25813953,17.8255814,1,19.41627907,8192.232558,962,Indiana,13405092.285714285,191637.85714285713,78885.0,36364.71428571428
Everett,WA,Washington,12.89285714,14.1,1,15.30357143,11036.92857,1296,Washington,3009287.090909091,423855.9090909091,105747.27272727272,47485.818181818184
Fairfield,CA,California,12.35714286,13.25,0,14.15714286,11283.82143,1097,California,8307655.333333333,61744.88888888889,118154.55555555556,50086.11111111111
Fall River,MA,Massachusetts,16.02592593,17.51481481,1,19.01481481,9873.0,1044,Massachusetts,2408682.8181818184,679220.9090909091,41325.09090909091,39779.181818181816
Fargo,ND,North Dakota,10.01851852,11.47777778,0,12.99259259,11727.66667,967,North Dakota,2829275.875,0.0,109873.5,40517.0
Farmington Hills,MI,Michigan,9.533333333,10.51666667,0,11.6,9967.375,935,Michigan,3269256.375,0.0,106650.625,55271.5
Fayetteville,AR,Arkansas,13.67681159,15.04492754,1,16.37971014,11918.37681,625,Arkansas,9034617.0,118158.6,34660.2,40774.4
Federal Way,WA,Washington,12.99047619,13.95238095,1,14.94285714,12757.90476,1667,Washington,7708878.636363637,200862.72727272726,99228.45454545454,46715.36363636364
Fishers,IN,Indiana,9.472727273,10.60909091,0,11.91818182,20943.81818,1037,Indiana,8503592.333333334,293060.6666666667,228973.66666666666,63317.0
