StateAbbr,StateDesc,CityName,Low_Confidence_Limit,Data_Value,High_Confidence_Limit,PopulationCount
AL,Alabama,Montgomery,17.8,19.1,20.4,2104
AZ,Arizona,Chandler,9.2,10.3,11.5,2500
AL,Alabama,Birmingham,15.9,17.3,18.7,410
AL,Alabama,Montgomery,18.6,20.7,22.8,1148
AL,Alabama,Birmingham,17.5,19.0,20.7,3637
AL,Alabama,Huntsville,12.7,13.6,14.7,167
AL,Alabama,Mobile,17.7,19.7,21.8,1815
AL,Alabama,Montgomery,16.9,19.0,21.1,4518
AZ,Arizona,Chandler,12.5,13.7,14.9,6520
AL,Alabama,Hoover,10.9,12.3,13.8,3035
AL,Alabama,Mobile,10.8,12.0,13.3,4370
AL,Alabama,Montgomery,8.9,10.1,11.5,136
AL,Alabama,Huntsville,17.0,18.6,20.3,3954
AZ,Arizona,Avondale,16.9,18.3,19.9,5505
AL,Alabama,Mobile,19.4,20.9,22.7,667
AL,Alabama,Birmingham,16.6,18.5,20.4,1157
AL,Alabama,Hoover,13.8,15.0,16.2,4532
AL,Alabama,Montgomery,10.0,10.8,11.8,8876
AL,Alabama,Hoover,8.6,9.9,11.3,4878
AL,Alabama,Mobile,15.9,17.5,19.0,2058
AL,Alabama,Birmingham,21.6,24.1,26.5,5003
AL,Alabama,Huntsville,18.4,20.0,21.7,2101
AL,Alabama,Montgomery,9.6,10.7,11.8,3140
AL,Alabama,Mobile,17.2,19.0,20.8,1233
AL,Alabama,Montgomery,11.3,12.7,14.2,3618
AK,Alaska,Anchorage,12.4,13.2,14.0,7323
AZ,Arizona,Avondale,16.7,18.0,19.3,6114
AK,Alaska,Anchorage,9.3,10.6,11.9,5947
AL,Alabama,Huntsville,15.2,16.7,18.3,2333
AL,Alabama,Huntsville,12.9,14.4,15.9,4510
AZ,Arizona,Chandler,9.0,10.1,11.3,6459
AZ,Arizona,Avondale,13.7,14.9,16.2,3978
AL,Alabama,Birmingham,13.3,14.8,16.2,2181
AL,Alabama,Birmingham,13.4,15.0,16.7,3146
AZ,Arizona,Chandler,10.0,11.3,12.6,6092
AL,Alabama,Montgomery,13.0,14.7,16.4,2008
AL,Alabama,Huntsville,7.9,9.1,10.5,2484
AZ,Arizona,Gilbert,9.6,10.9,12.3,4328
AK,Alaska,Anchorage,10.9,11.0,11.2,291826
AL,Alabama,Mobile,11.3,12.8,14.6,3664
AL,Alabama,Tuscaloosa,15.5,19.0,22.7,2701
AL,Alabama,Birmingham,17.0,18.7,20.6,3186
AZ,Arizona,Chandler,12.6,13.8,15.2,2923
AZ,Arizona,Chandler,8.4,9.6,10.8,1531
AK,Alaska,Anchorage,8.1,9.3,10.8,4020
AZ,Arizona,Gilbert,10.4,11.7,12.9,4423
TX,Texas,Lubbock,12.3,13.4,14.5,2899
TX,Texas,San Angelo,12.6,13.7,14.8,2612
AZ,Arizona,Peoria,9.1,10.2,11.5,1424
AZ,Arizona,Phoenix,8.9,10.2,11.6,3383
AZ,Arizona,Peoria,9.2,10.4,11.8,5903
AZ,Arizona,Mesa,15.4,17.0,18.6,777
AZ,Arizona,Phoenix,17.1,19.1,21.1,2666
AZ,Arizona,Phoenix,10.0,11.4,12.8,5546
AZ,Arizona,Phoenix,15.9,17.9,19.6,5377
AZ,Arizona,Mesa,13.3,13.4,13.5,439041
AZ,Arizona,Phoenix,11.9,13.1,14.4,4373
AZ,Arizona,Phoenix,14.3,15.3,16.2,5924
AZ,Arizona,Glendale,16.7,18.1,19.4,4082
AZ,Arizona,Phoenix,8.8,9.5,10.2,3337
AZ,Arizona,Glendale,20.4,21.8,23.2,3177
AZ,Arizona,Phoenix,8.1,9.5,10.7,2521
AZ,Arizona,Peoria,10.1,11.5,12.8,56
AZ,Arizona,Phoenix,13.5,14.7,15.9,5124
AZ,Arizona,Phoenix,12.5,13.6,14.8,3426
AZ,Arizona,Phoenix,13.4,14.5,15.7,5107
AZ,Arizona,Phoenix,10.0,11.2,12.6,2342
AZ,Arizona,Glendale,9.4,10.9,12.4,2991
AZ,Arizona,Phoenix,19.8,21.4,22.8,4146
AZ,Arizona,Phoenix,11.8,13.0,14.3,5131
AZ,Arizona,Phoenix,13.9,15.4,16.9,3161
AZ,Arizona,Phoenix,13.9,15.4,16.9,4685
AZ,Arizona,Phoenix,9.3,10.5,11.7,5121
AZ,Arizona,Mesa,13.7,15.3,17.0,3423
AZ,Arizona,Phoenix,8.2,9.2,10.3,4303
AZ,Arizona,Phoenix,18.2,20.0,21.7,2014
AZ,Arizona,Phoenix,19.1,21.1,23.2,3838
AZ,Arizona,Phoenix,9.5,10.6,11.9,5688
AZ,Arizona,Phoenix,9.2,10.5,12.0,6295
AZ,Arizona,Mesa,12.7,13.8,14.9,4191
AZ,Arizona,Peoria,11.1,11.9,12.9,3797
AZ,Arizona,Mesa,11.8,13.1,14.4,3120
AZ,Arizona,Glendale,15.4,16.4,17.6,4045
AZ,Arizona,Phoenix,15.3,16.7,18.3,2679
AZ,Arizona,Phoenix,16.8,18.3,19.9,3389
AZ,Arizona,Phoenix,12.3,13.8,15.4,4154
AZ,Arizona,Phoenix,11.4,12.4,13.4,2599
AZ,Arizona,Mesa,12.7,14.1,15.6,3527
AZ,Arizona,Phoenix,11.2,12.3,13.5,1213
AZ,Arizona,Phoenix,10.4,11.2,12.2,4995
AZ,Arizona,Mesa,12.1,13.1,14.1,750
AZ,Arizona,Phoenix,7.9,8.9,9.9,3701
AZ,Arizona,Mesa,11.3,12.5,13.9,5866
AZ,Arizona,Phoenix,7.4,8.5,9.9,120
AZ,Arizona,Phoenix,12.7,13.6,14.7,6215
AZ,Arizona,Peoria,16.4,17.8,19.1,2817
AZ,Arizona,Mesa,15.6,16.7,17.9,5807
AZ,Arizona,Phoenix,18.2,19.6,21.0,4748
AZ,Arizona,Mesa,11.3,12.4,13.5,1868
AZ,Arizona,Mesa,14.0,14.9,15.8,499
AZ,Arizona,Glendale,12.8,13.9,15.0,4026
AZ,Arizona,Mesa,14.4,15.7,17.2,3390
AZ,Arizona,Phoenix,18.4,20.2,21.9,1964
AZ,Arizona,Phoenix,14.9,16.2,17.4,5558
AZ,Arizona,Phoenix,20.0,22.0,24.1,1372
AZ,Arizona,Phoenix,15.2,17.0,18.7,3957
AZ,Arizona,Mesa,10.0,11.2,12.4,547
AZ,Arizona,Mesa,12.7,13.8,15.0,2794
AZ,Arizona,Phoenix,17.0,18.2,19.4,1671
AZ,Arizona,Glendale,8.8,10.0,11.3,3072
AZ,Arizona,Phoenix,16.9,18.7,20.4,4339
AZ,Arizona,Phoenix,13.9,15.4,16.8,6246
AZ,Arizona,Phoenix,8.8,10.2,11.8,1547
AZ,Arizona,Peoria,12.6,14.4,16.5,152
AZ,Arizona,Mesa,14.1,15.5,17.2,248
AZ,Arizona,Phoenix,9.6,10.8,12.1,2538
AZ,Arizona,Phoenix,9.4,10.4,11.4,3536
AZ,Arizona,Peoria,10.5,11.3,12.0,3922
AZ,Arizona,Glendale,16.9,17.7,18.6,3274
AZ,Arizona,Phoenix,17.5,19.1,20.5,4563
AZ,Arizona,Phoenix,14.5,15.8,17.2,4269
AZ,Arizona,Phoenix,14.7,15.7,16.7,4253
AZ,Arizona,Phoenix,17.7,19.3,21.0,2148
AZ,Arizona,Mesa,12.8,13.9,15.0,2987
AZ,Arizona,Phoenix,15.2,16.4,17.6,7077
AZ,Arizona,Mesa,17.5,19.5,21.4,4126
AZ,Arizona,Phoenix,17.8,18.8,19.9,6202
AZ,Arizona,Phoenix,15.1,16.7,18.3,4805
AZ,Arizona,Mesa,10.1,11.6,13.0,4939
AZ,Arizona,Phoenix,19.1,21.5,23.8,8071
AZ,Arizona,Phoenix,8.2,9.5,11.0,4638
AZ,Arizona,Mesa,12.7,14.1,15.5,4774
AZ,Arizona,Phoenix,11.8,13.2,14.7,5647
AZ,Arizona,Glendale,13.7,14.9,16.3,3908
AZ,Arizona,Glendale,15.3,16.2,17.3,3791
AZ,Arizona,Phoenix,15.5,16.7,17.9,4256
AZ,Arizona,Phoenix,12.0,13.1,14.1,3230
AZ,Arizona,Mesa,15.4,16.6,17.8,4773
AZ,Arizona,Phoenix,8.7,9.8,11.1,3405
AZ,Arizona,Phoenix,12.5,13.3,14.2,4274
AZ,Arizona,Phoenix,13.8,13.9,13.9,1445632
AZ,Arizona,Phoenix,18.8,20.7,22.5,2115
AZ,Arizona,Phoenix,15.1,16.7,18.2,4304
AZ,Arizona,Glendale,14.0,15.1,16.2,5847
AZ,Arizona,Phoenix,17.6,19.0,20.4,4096
AZ,Arizona,Phoenix,12.6,13.9,15.3,6628
AZ,Arizona,Mesa,11.0,12.1,13.1,4280
AZ,Arizona,Mesa,13.2,14.6,16.0,1368
AZ,Arizona,Peoria,12.7,13.8,14.8,4099
AZ,Arizona,Peoria,9.1,10.2,11.3,1125
AZ,Arizona,Phoenix,9.9,11.1,12.3,6232
AZ,Arizona,Phoenix,9.5,10.9,12.3,2779
AZ,Arizona,Phoenix,15.6,16.9,18.3,3209
AZ,Arizona,Phoenix,7.1,7.8,8.5,3285
AZ,Arizona,Phoenix,9.4,10.6,11.9,2075
