State_Name,State_ab,Median,Stdev,ALand,AWater
California,CA,29490,34436.4216004927,800607.0,0.0
Nebraska,NE,66200,86381.4458338584,1116288.0,0.0
Indiana,IN,80070,97218.8619986308,779111.3333333334,692.0
Arkansas,AR,83744,129273.92483127801,5881975.0,0.0
Illinois,IL,77451,102385.733858948,15778040.0,29803.0
Oklahoma,OK,73148,107881.41046475401,14464482.0,155392.0
Nebraska,NE,71240,39626.4666795972,497562.0,0.0
Illinois,IL,79207,95071.9823481161,2297981.0,0.0
Ohio,OH,143885,159573.41949844902,63769816.0,18240.0
Ohio,OH,71273,63158.1216309207,2247383.0,13813.0
Virginia,VA,300000,97499.92380081321,6211177.625,1881907.875
Massachusetts,MA,175553,174060.461827945,8097907.0,311957.0
Missouri,MO,76519,80803.1831342863,1777715.0,0.0
Wisconsin,WI,80129,111018.189580226,25449980.0,4355137.0
Mississippi,MS,85587,99154.73390942019,3699160.0,4045.5
Arkansas,AR,96730,72810.5690140222,7708467.0,0.0
Wisconsin,WI,127219,147087.704771921,94112450.0,59734213.0
Kansas,KS,93348,82185.2502982934,2711058.0,0.0
New Jersey,NJ,223167,203170.729166556,8430496.5,420283.5
New York,NY,257138,226706.606085042,8640702.0,43921.2
Connecticut,CT,236046,200856.361400552,5100197.0,4167.0
Idaho,ID,86334,67941.8414100833,4427680.0,23084.0
Virginia,VA,300000,43697.7528556366,12972213.75,11687.5
Texas,TX,223455,202248.733241345,38943663.0,1917946.0
Ohio,OH,78492,99907.1627260214,9816179.0,0.0
Pennsylvania,PA,300000,19026.701699715,1555472.6666666667,0.0
California,CA,113499,138407.173251556,10632489.0,150029.0
Maryland,MD,91978,106261.92038804699,10997719.0,8728.0
Alabama,AL,53341,46148.908405133894,3434686.0,0.0
Wisconsin,WI,300000,92370.8026268057,10472325.333333334,204916.66666666666
Texas,TX,67938,51274.35420475809,543100.6666666666,64637.333333333336
Iowa,IA,84170,89065.4078243451,2188996.0,0.0
Oklahoma,OK,98271,127826.25565418,24914994.666666668,203641.0
Texas,TX,92675,131382.394702725,52367277.0,8793355.0
Washington,WA,116861,112425.451765176,1528167.0,14961.0
Washington,WA,71257,70349.32639098821,3803429.0,5269.0
Alabama,AL,300000,55477.881007903496,13529257.0,19710.0
Alabama,AL,73487,64833.5495894735,25961818.0,96469.0
North Carolina,NE,300000,53069.8396792805,34619713.0,380612.0
California,CA,300000,214248.948533494,7200599.5,13014.0
Florida,FL,124839,158891.867307258,13401307.0,13669951.0
West Virginia,WV,103515,44489.0311324786,7245809.5,55741.5
South Carolina,SC,76580,117448.74752424199,3507478.0,0.0
South Carolina,SC,117901,176770.956842012,26429281.0,169184.0
South Dakota,SD,300000,26041.609779025497,1417885.0,0.0
Washington,WA,300000,45770.4013934929,7912253.666666667,113458.0
South Carolina,SC,300000,93331.6710600934,6045179.444444444,66577.44444444444
Wisconsin,WI,103418,128079.40784662699,31136059.0,55500.0
Tennessee,TN,89390,104150.60496464401,9791338.0,0.0
Montana,MT,300000,79065.4200902218,2768628.5,361548.5
Pennsylvania,PA,96589,98661.0326196869,7556734.333333333,150974.33333333334
Wyoming,WY,98956,97383.04186563382,7902702.0,22625.0
Michigan,MI,73907,94444.127944501,2385304.0,0.0
Mississippi,MS,37385,43297.333902537204,1580834.0,0.0
New Mexico,NM,63461,86569.1468427613,34171656.0,666936.0
Indiana,IN,76718,76650.7475248605,3032403.0,0.0
Washington,WA,87777,132354.45217354,24356126.0,7952.5
Texas,TX,218353,200039.03219969198,49856816.0,1266544.0
Florida,FL,95977,119527.7901407,42335506.0,5032750.0
Missouri,MO,300000,58412.2829206977,10517957.5,99951.5
Oregon,OR,109171,147631.361608754,19512367.0,0.0
Louisiana,LA,89224,108688.49794400699,8053409.0,69980.0
Wisconsin,WI,300000,69471.8821577089,5981505.666666667,21983.0
North Carolina,NC,134649,155689.231967485,4683637.5,996190.5
New Jersey,NJ,183665,182935.023750422,1926715.0,1503906.0
Arizona,AZ,86267,114699.903668662,28151296.0,8243.0
California,CA,105443,119837.66810658801,21643294.0,106347.0
Pennsylvania,PA,62783,62536.8549904209,1155723.0,149007.0
Wisconsin,WI,123020,144721.850054888,20072670.0,134275.0
Oregon,OR,72798,84234.1961204659,16043305.0,524629.0
California,CA,101917,124537.63326380699,7862038.0,0.0
Nebraska,NE,300000,98792.58532144461,248260234.6,2038221.2
Michigan,MI,300000,53682.8609655622,660267.0,71771.0
Georgia,GA,67086,44453.5592686701,12694758.333333334,336202.0
North Carolina,NC,214038,68636.91668918269,12262075.333333334,253210.66666666666
Massachusetts,MA,126531,150023.20253418,9162443.5,426530.0
Ohio,OH,13983,13523.4504732345,9281183.0,100969.0
Minnesota,MN,76844,112544.579613864,1266077.0,4007.0
Pennsylvania,PA,227176,205847.558599537,3625707.0,0.0
Michigan,MI,103132,111454.072031961,6583291.0,2579.0
Indiana,IN,300000,45669.1848340877,5696918.0,0.0
Iowa,IA,81630,99938.13221073471,1666304.0,0.0
New Jersey,NJ,127233,136835.899052643,1893890.0,91849.0
Oregon,OR,79123,61366.8723806933,6140756.5,0.0
Missouri,MO,72393,99100.0500922807,4307042.0,39930.0
Pennsylvania,PA,81789,63974.2265265533,3271885.0,0.0
Alabama,AL,97481,127430.573190426,5242641.0,0.0
Indiana,IN,76650,81596.8289478027,2627201.0,8892.0
Texas,TX,300000,95182.8106063033,30918734.666666668,17184.666666666668
Arkansas,AR,17393,32425.1677199287,325631.0,0.0
Oklahoma,OK,53407,66248.8926342937,632080.0,8895.0
Ohio,OH,300000,44218.5565126848,4371055.5,19462.5
Maryland,MD,183499,181696.94171408398,103177806.0,6566274.0
Alabama,AL,77205,53928.5879741136,13487461.0,57859.0
North Carolina,NC,96082,98460.8198399557,5830549.0,0.0
Kansas,KS,84417,121631.899720525,956797.0,0.0
Ohio,OH,116211,90888.019173336,13552367.25,197435.0
Georgia,GA,84481,96064.97458440631,4461214.5,0.0
Kentucky,KY,72226,59232.228307001395,3934412.0,22135.0
New York,NY,240499,215333.805807183,12883141.0,0.0
New York,NY,97661,84383.67722779019,4565619.5,159029.5
New Mexico,NM,300000,49065.278233169905,4489626.333333333,8763.666666666666
New Jersey,NJ,66241,108861.89356432401,4960415.0,330911.0
Utah,UT,64058,62851.0563133824,265118.0,0.0
Illinois,IL,77531,96877.18837240241,1976453.0,0.0
Nebraska,NE,79928,67191.1369922982,349530.0,0.0
South Dakota,SD,84469,79351.2131716986,1413655.25,0.0
North Carolina,NC,75244,123661.75188968099,8609425.0,9148.0
Washington,WA,168979,73532.9618801234,27016711.833333332,5540563.5
Texas,TX,74272,70310.8434008074,1730157.0,0.0
Oklahoma,OK,300000,79442.1575774045,14586252.6,97511.4
Maryland,MD,227210,201768.74830497897,5413928.0,14036.0
Alaska,AK,91484,94877.1354037518,61682577.0,0.0
Georgia,GA,168093,57159.65782115809,4063079.5,163550.0
Oklahoma,OK,54505,79438.2795375303,2114469.0,0.0
Alaska,AK,300000,85849.8783857929,575782215.0,2651957.5
Maryland,MD,300000,203326.816204642,1742083.0,667262.0
Alabama,AL,71100,98176.10343624039,66056296.0,209972.0
Alabama,AL,61062,64554.919741927806,27817447.0,1526561.0
Ohio,OH,250000,102815.87894054099,36212970.0,63655.0
Louisiana,LA,59013,89142.01546298599,7207974.0,0.0
Georgia,GA,84846,85631.3977826386,5624570.0,63511.0
Iowa,IA,79693,108493.01204512,8440177.0,383923.0
Pennsylvania,PA,96663,65307.0859256521,13303798.0,202845.5
Florida,FL,81557,100276.63370007099,30099887.0,1195872.0
Illinois,IL,74307,35855.2922434336,2778801.0,0.0
Illinois,IL,46065,45154.4141889568,15505760.0,7975.0
Florida,FL,134058,99102.6087293524,80252119.2,33585548.4
Alaska,AK,15908,23028.687999892798,205568832.0,4251345.0
Alaska,AK,71995,82432.7503305838,28595093.0,12025525.0
Maryland,MD,110094,140879.99828864099,7713645.0,18233.0
Missouri,MO,61404,37610.2252069033,1223004.0,0.0
Oregon,OR,92169,111074.93581674199,9781482.0,0.0
Virginia,VA,90549,116998.614281256,1402354.0,2201.0
New Mexico,NM,62455,72709.5309560242,14752384.0,0.0
New York,NY,220023,202096.23733846,7141311.0,16676.0
North Dakota,ND,78304,61497.899512021395,1800830.0,0.0
North Carolina,NC,174170,175682.284325763,6856231.5,0.0
North Carolina,NC,76209,97229.07746104381,120529992.0,10865474.0
North Carolina,NC,300000,49819.2014159746,1271350.0,0.0
Missouri,MO,82965,103164.642676716,3591515.0,0.0
Georgia,GA,64101,50457.764398476604,3887331.0,20965.0
Texas,TX,66944,64291.64683400001,8064175.5,0.0
Massachusetts,MA,98192,123762.27999642,120960043.0,4434135.0
Florida,FL,73476,91914.6936997294,30001339.0,3967336.0
Michigan,MI,85519,80186.1836956871,5904872.0,1127372.5
Texas,TX,88764,117971.952331024,25097527.0,146948.5
South Carolina,SC,250000,102429.349099809,15488794.0,73181.0
North Carolina,NC,300000,71921.50716288769,10182089.75,854772.0
Tennessee,TN,62681,74397.2897716506,11878092.0,0.0
Mississippi,MS,12266,77039.153364567,3647624.0,86333.0
Oklahoma,OK,300000,89260.62235467619,14024092.0,245865.8
New Mexico,NM,115599,55170.0285001679,19498859.0,0.0
California,CA,120687,108686.26498546901,31736499.0,44673.0
Washington,WA,70401,67396.1268499342,797041.0,0.0
Indiana,IN,77139,111457.985363631,824604.0,0.0
Tennessee,TN,45340,51590.4995894734,5028401.0,0.0
Colorado,CO,119729,179018.063246704,7202157.5,0.0
Arizona,AZ,68363,98029.3612936533,53915279.0,52011.0
Arizona,AZ,103140,136537.351748325,103510700.0,674096.0
Michigan,MI,105316,122232.613772284,11934275.0,86687.0
California,CA,127543,154634.43106582802,10371374.0,0.0
Maryland,MD,129423,150496.590574696,8361305.5,12518.0
Wyoming,WY,70027,70085.01065399821,468861.0,0.0
New Jersey,NJ,251262,223715.04992149601,11878582.0,1498167.0
Texas,TX,53851,124450.347109097,9697243.0,43312.0
Alaska,AK,300000,74598.8091256091,36739204.0,12759045.0
Washington,WA,84579,88547.51492208391,2601332.0,24832.0
Tennessee,TN,70363,102596.54233299199,9597372.0,16361.0
Indiana,IN,73566,59070.6501883538,605591.0,0.0
Texas,TX,44146,33933.4604943258,12326288.0,9278.0
California,CA,52261,46997.99864723191,7046785.0,0.0
Ohio,OH,254042,223064.719123022,3039637.0,140683.0
Indiana,IN,66512,65501.6863115899,2299334.0,51867.0
Texas,TX,84383,122681.303838376,52924341.0,848752.0
Montana,MT,129618,152511.015231381,13156529.0,557258.0
Louisiana,LA,96661,125851.05913164599,9533041.0,109072.0
Kansas,KS,39064,46938.850033253206,527436.0,0.0
New Mexico,NM,300000,50726.760842016396,6122491.75,0.0
New Jersey,NJ,35421,46660.068594631906,2867912.0,9668.0
Idaho,ID,66687,57147.4801289991,476247.0,0.0
Idaho,ID,173344,179655.260751337,1458776.0,0.0
Illinois,IL,300000,77133.7844381869,1256784.5,9839.5
Texas,TX,93716,137739.15107035698,75268759.0,1057429.0
Texas,TX,90032,118621.156248478,166583797.0,314018164.0
New Mexico,NM,77144,109862.086614981,2151016.0,1708.0
Texas,TX,76968,82618.7248703324,2631617.0,0.0
Arizona,AZ,95099,35809.9454943871,9240353.5,64655.5
Illinois,IL,94284,65252.7721492242,862068.0,7388.5
Wyoming,WY,300000,81675.7593751878,7057525.0,2791.0
Florida,FL,101837,132985.462696221,81159020.0,3246650.0
Texas,TX,229081,205822.323322638,111856589.0,1380351.0
