city,State_name,State_ab,ALand,AWater,Median,Stdev
Marengo,Iowa,IA,12912794.5,78749,86414,100455.7303
Margaretville,New York,NY,1696437,37682,70866,57478.29983
Margate,New Jersey,NJ,1015868,3016787,216562,198898.3935
Maria Stein,Ohio,OH,745324.5,1429,171580.5,70825.24818
Marianna,Arkansas,AR,13338786.8,25014,60200.4,68251.80496
Maricopa,Arizona,AZ,15653811.5,0,62411.5,55103.777
Marienville,Pennsylvania,PA,6384851,7195,83558,66337.75071
Marietta,Georgia,GA,16305826.2,44782.6,87473.2,101989.3181
Marina Del Rey,California,CA,2226381,1541368,170337,173324.7717
Marine,Illinois,IL,1800572,52023,88001,110935.0615
Marine City,Michigan,MI,5561908,806508,80444,110820.5117
Marine On St Croix,Minnesota,MN,10125099,755884,195842,189463.6826
Maringouin,Louisiana,LA,1906656,0,62642,71972.25497
Marion,Alabama,AL,15479976.32,965991.3636,129514.1364,104621.5173
Marion Center,Pennsylvania,PA,1924647,0,75548,89198.12335
Marionville,Missouri,MO,1153386,3437,132914,77152.65338
Mariposa,California,CA,35690080.5,35353,87219,103884.6445
Markesan,Wisconsin,WI,6036547,45059,76284,93994.74996
Markham,Texas,TX,5825472,42668,89106,74316.23632
Markleeville,California,CA,12627546,0,85738,47278.33428
Marks,Mississippi,MS,3324176,0,81729,140136.3343
Marksville,Louisiana,LA,12465883,34862,59935,91305.41719
Marlboro,New York,NY,11540197,1647068,125362,153945.2496
Marlborough,Connecticut,CT,3677825,164476,201811,77091.57435
Marlette,Michigan,MI,4079156.5,5648.5,66312,65662.34686
Marlinton,West Virginia,WV,2928439,0,250000,59687.1276
Marlow,Oklahoma,OK,159471866,3384234,94354,151623.6472
Marmaduke,Arkansas,AR,3379024,0,71205,96223.96685
Marmarth,North Dakota,ND,6481934,61049,60703,50737.61978
Marmet,West Virginia,WV,3298475,348967,80101,90696.41742
Marmora,New Jersey,NJ,1358231,606086,300000,234095.8889
Maroa,Illinois,IL,4617362,0,91207,111095.9389
Marquette,Michigan,MI,5163046,1444081,71429,88898.1722
Marquette Heights,Illinois,IL,3566763,98199,86478,107236.8125
Mars Hill,Maine,ME,7070853,0,81459,72236.41455
Marseilles,Illinois,IL,23483058,1259384,88910,95453.4479
Marshall,Alaska,AK,7564776.556,103623.1111,108656.2222,95043.97174
Marshalltown,Iowa,IA,49937222,68292,88034,118780.9611
Marshallville,Ohio,OH,1481900,0,86787,90832.68248
Marshfield,Massachusetts,MA,24233723.5,135408,120698.5,147683.635
Marshville,North Carolina,NC,5738515,7120,64629,61247.64464
Mart,Texas,TX,3412000,310,300000,98329.47112
Martensdale,Iowa,IA,1070335.5,9810,52606,140917.6477
Marthaville,Louisiana,LA,25979921,0,80509,63862.67923
Martin,South Dakota,SD,17147554.5,53992.5,86949,126768.7634
Martinez,California,CA,10917821.5,71363,160375,138219.5433
Martins Ferry,Ohio,OH,6030707,4636,68347,83110.22535
Martinsburg,West Virginia,WV,3225261,0,300000,149449.6166
Martinsville,Illinois,IL,12059738,74273,65010.66667,65808.62115
Marvell,Arkansas,AR,3681702,0,67427,116353.9457
Marysville,California,CA,26089250.33,562972.1667,137191.3333,113710.3335
Marysville Ca,California,CA,8971085,312309,71447,90435.71137
Maryville,Illinois,IL,8675901.6,56630.2,85883.8,76685.45013
Mascot,Tennessee,TN,18038572,574856,55522,60262.11773
